date	time	group	subject	session	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	trialduration	trialtimeout	response	correct	latency	stimulusnumber1	stimulusitem1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusonset3
2020-12-16	10:23:57	1	2	1	6.3.1	1	1	EmotionTask_1	Video_1	0	0	0	0	57	0	115	2	F6-Anger.mpg	4	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	2	EmotionTask_1	Video_1	0	0	0	0	57	0	45	1	F1-Anger.mpg	5	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	3	EmotionTask_1	Video_1	0	0	0	0	57	0	66	2	F6-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	4	EmotionTask_1	Video_1	0	0	0	0	57	0	41	1	F1-Anger.mpg	5	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	5	EmotionTask_1	Video_1	0	0	0	0	57	0	52	2	F6-Anger.mpg	5	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	6	EmotionTask_1	Video_1	0	0	0	0	57	0	78	1	F1-Anger.mpg	6	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	7	EmotionTask_1	Video_1	0	0	0	0	57	0	42	2	F6-Anger.mpg	8	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	8	EmotionTask_1	Video_1	0	0	0	0	57	0	55	1	F1-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	9	EmotionTask_1	Video_1	0	0	0	0	57	0	23	2	F6-Anger.mpg	6	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	10	EmotionTask_1	Video_1	0	0	0	0	57	0	77	1	F1-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	11	EmotionTask_1	Video_1	0	0	0	0	57	0	56	1	F1-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	12	EmotionTask_1	Video_1	0	0	0	0	57	0	52	2	F6-Anger.mpg	8	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	13	EmotionTask_1	Video_1	0	0	0	0	57	0	34	2	F6-Anger.mpg	4	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	14	EmotionTask_1	Video_1	0	0	0	0	57	0	44	1	F1-Anger.mpg	6	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	15	EmotionTask_1	Video_1	0	0	0	0	57	0	39	2	F6-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	1	16	EmotionTask_1	Video_1	0	0	0	0	57	0	24	1	F1-Anger.mpg	7	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	1	traits_in	d_friedfertig	0	0	0	0	3	1	41	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	2	traits_in	d_undemokratisch	0	0	0	0	89	1	41	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	3	traits_in	d_fanatisch	0	0	0	0	61	1	35	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	4	traits_in	d_taeter	0	0	0	0	76	1	48	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	5	traits_in	d_tolerant	0	0	0	0	79	1	42	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	6	traits_in	d_radikal	0	0	0	0	58	1	44	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	7	traits_in	d_beitragend	0	0	0	0	18	1	67	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	8	traits_in	d_aggressiv	0	0	0	0	70	1	61	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	9	traits_in	d_fremdartig	0	0	0	0	30	1	24	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	10	traits_in	d_terroristisch	0	0	0	0	12	1	52	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	11	traits_in	d_tolerant	0	0	0	0	5	1	57	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	12	traits_in	d_fremdartig	0	0	0	0	56	1	36	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	13	traits_in	d_gesetzestreu	0	0	0	0	35	1	28	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	14	traits_in	d_zivilisiert	0	0	0	0	23	1	59	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	15	traits_in	d_ungefaehrlich	0	0	0	0	29	1	40	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	16	traits_in	d_beitragend	0	0	0	0	20	1	34	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	17	traits_in	d_bedrohlich	0	0	0	0	83	1	56	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	18	traits_in	d_harmlos	0	0	0	0	50	1	44	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	19	traits_in	d_geschlechtergerecht	0	0	0	0	53	1	42	0	0	0	0	0	0	0	0	0
